indicatorId,geoUnit,year,value,qualifier,magnitude
MATH.LOWERSEC,DOM,2022,7.56,,
MATH.LOWERSEC,DZA,2015,19.04323571018076,,
MATH.LOWERSEC,ECU,2017,29.06760150535657,,
MATH.LOWERSEC,EGY,2003,23.69187845757936,,
MATH.LOWERSEC,EGY,2007,21.10256745261591,,
MATH.LOWERSEC,EGY,2015,21.3178195510304,,
MATH.LOWERSEC,EGY,2019,26.83766816275232,,
MATH.LOWERSEC,ESP,2000,73.8302441059098,,
MATH.LOWERSEC,ESP,2003,77.0334404563,,
MATH.LOWERSEC,ESP,2006,75.30780840209702,,
MATH.LOWERSEC,ESP,2009,76.268519600668,,
MATH.LOWERSEC,ESP,2012,76.3945961385902,,
MATH.LOWERSEC,ESP,2015,77.80463408775377,,
MATH.LOWERSEC,ESP,2018,75.30452910249258,,
MATH.LOWERSEC,ESP,2022,72.7,,
MATH.LOWERSEC,EST,2006,87.92123766833845,,
MATH.LOWERSEC,EST,2009,87.362303677382,,
MATH.LOWERSEC,EST,2012,89.4555165291929,,
MATH.LOWERSEC,EST,2015,88.78234515692913,,
MATH.LOWERSEC,EST,2018,89.78358370583854,,
MATH.LOWERSEC,EST,2022,85.03,,
MATH.LOWERSEC,FIN,2000,92.0813992205096,,
MATH.LOWERSEC,FIN,2003,93.2408287946,,
MATH.LOWERSEC,FIN,2006,94.04777310113856,,
MATH.LOWERSEC,FIN,2009,92.153963688366,,
MATH.LOWERSEC,FIN,2012,87.73211696529737,,
MATH.LOWERSEC,FIN,2015,86.43601943364388,,
MATH.LOWERSEC,FIN,2018,85.02446484367304,,
MATH.LOWERSEC,FIN,2022,75.15,,
MATH.LOWERSEC,FRA,2000,85.6139117886389,,
MATH.LOWERSEC,FRA,2003,83.3689814469,,
MATH.LOWERSEC,FRA,2006,77.74447577297343,,
MATH.LOWERSEC,FRA,2009,77.475681742338,,
MATH.LOWERSEC,FRA,2012,77.64564677266195,,
MATH.LOWERSEC,FRA,2015,76.5220583669585,,
MATH.LOWERSEC,FRA,2018,78.74436808026297,,
MATH.LOWERSEC,FRA,2022,71.2,,
MATH.LOWERSEC,GBR,2000,88.4246596292967,,
MATH.LOWERSEC,GBR,2003,82.2368542190433,,
MATH.LOWERSEC,GBR,2006,80.24634447936474,,
MATH.LOWERSEC,GBR,2009,79.816030215636,,
MATH.LOWERSEC,GBR,2012,78.18721736060876,,
MATH.LOWERSEC,GBR,2015,78.13294271766429,,
MATH.LOWERSEC,GBR,2018,80.77064255875833,,
MATH.LOWERSEC,GBR,2022,75.67,,
MATH.LOWERSEC,GEO,2009,31.2859826265838,,
MATH.LOWERSEC,GEO,2015,42.90395071091726,,
MATH.LOWERSEC,GEO,2018,38.94551172247644,,
MATH.LOWERSEC,GEO,2022,33.55,,
MATH.LOWERSEC,GHA,2003,1.589557329528273,,
MATH.LOWERSEC,GHA,2007,3.695914282696441,,
MATH.LOWERSEC,GHA,2011,4.847792140082623,,
MATH.LOWERSEC,GRC,2000,61.1693636137431,,
MATH.LOWERSEC,GRC,2003,61.0570768893,,
MATH.LOWERSEC,GRC,2006,67.66030601260852,,
MATH.LOWERSEC,GRC,2009,69.68156848388199,,
MATH.LOWERSEC,GRC,2012,64.31079452467884,,
MATH.LOWERSEC,GRC,2015,64.24346971030778,,
MATH.LOWERSEC,GRC,2018,64.16108134477426,,
MATH.LOWERSEC,GRC,2022,52.79000000000001,,
MATH.LOWERSEC,GTM,2017,10.63765156046986,,
MATH.LOWERSEC,GTM,2022,13.08,,
MATH.LOWERSEC,HKG,2000,91.9677716959029,,
MATH.LOWERSEC,HKG,2003,89.59563219,,
MATH.LOWERSEC,HKG,2006,90.47354624413492,,
MATH.LOWERSEC,HKG,2009,91.235849073853,,
MATH.LOWERSEC,HKG,2012,91.48302140448574,,
MATH.LOWERSEC,HKG,2015,91.01389052527313,,
MATH.LOWERSEC,HKG,2018,90.8299443929004,,
MATH.LOWERSEC,HKG,2022,86.16,,
MATH.LOWERSEC,HND,2017,15.43761084977976,,
MATH.LOWERSEC,HRV,2006,71.41933785229678,,
MATH.LOWERSEC,HRV,2009,66.846572754489,,
MATH.LOWERSEC,HRV,2012,70.130553329631,,
MATH.LOWERSEC,HRV,2015,67.96101034544643,,
MATH.LOWERSEC,HRV,2018,68.83926024453652,,
